Energy (eV),Efficiency %,Efficiency % Uncertainty
656.0,0.2111195357193709,0.06038951208888973
657.0,0.2120613057545512,0.06041853415281283
658.0,0.21300219781601268,0.06044653663004218
659.0,0.2139421980593149,0.06047352658784263
660.0,0.21488129281065105,0.06049951108504579
661.0,0.2158194685657698,0.06052449717134729
662.0,0.2167567119888951,0.06054849188661911
663.0,0.21769300991163942,0.060571502260237574
664.0,0.21862834933191835,0.060593535310426015
665.0,0.21956271741285863,0.06061459804361275
666.0,0.22049610148170215,0.06063469745380382
667.0,0.2214284890287095,0.06065384052196992
668.0,0.22235986770606236,0.06067203421544753
669.0,0.22329022532675907,0.060689285487354694
670.0,0.22421954986351142,0.06070560127602027
671.0,0.22514782944764078,0.060720988504427
672.0,0.22607505236796918,0.06073545407966761
673.0,0.2270012070697133,0.060749004892415435
674.0,0.2279262821533722,0.060761647816406424
675.0,0.22885026637362094,0.06077338970793571
676.0,0.22977314863819645,0.06078423740536547
677.0,0.23069491800678935,0.06079419772864671
678.0,0.23161556368993083,0.060803277478851975
679.0,0.23253507504788326,0.06081148343772119
680.0,0.2334534415895264,0.06081882236721921
681.0,0.23437065297125015,0.060825301009104854
682.0,0.23528669899584265,0.06083092608451182
683.0,0.23620156961138006,0.0608357042935412
684.0,0.23711525491012142,0.06083964231486474
685.0,0.23802774512739902,0.06084274680533899
686.0,0.23893903064051206,0.06084502439963196
687.0,0.23984910196762518,0.06084648170985769
688.0,0.24075794976666184,0.06084712532522425
689.0,0.2416655648342055,0.06084696181168994
690.0,0.24257193810439978,0.06084599771163106
691.0,0.2434770606478525,0.06084423954351888
692.0,0.2443809236705365,0.06084169380160657
693.0,0.24528351851270366,0.06083836695562679
694.0,0.2461848366477878,0.060834265450497256
695.0,0.2470848696813217,0.06082939570603697
696.0,0.2479836093498507,0.06082376411669108
697.0,0.24888104751984955,0.06081737705126491
698.0,0.24977717618664444,0.06081024085266687
699.0,0.25067198747333763,0.06080236183766044
700.0,0.2515654781384595,0.06079374693595696
701.0,0.2524768380020582,0.060787107523131254
702.0,0.2533868211317208,0.06077970503259009
703.0,0.2542954195229312,0.060771545948977095
704.0,0.25520262530364646,0.060762636729843014
705.0,0.25610843073315626,0.06075298380539833
706.0,0.25701282820094296,0.060742593578276556
707.0,0.2579158102255509,0.06073147242330476
708.0,0.2588173694534526,0.06071962668728374
709.0,0.25971749865792737,0.060707062688775605
710.0,0.2606161907379341,0.0606937867178997
711.0,0.2615134387169986,0.06067980503613757
712.0,0.2624092357420973,0.060665123876144145
713.0,0.26330357508255015,0.06064974944156827
714.0,0.2641964501289149,0.060633687906879834
715.0,0.2650878543918901,0.06061694541720503
716.0,0.2659777815012172,0.060599528088168285
717.0,0.26686622520459224,0.06058144200574206
718.0,0.26775317936657994,0.06056269322610357
719.0,0.26863863796753384,0.060543287775497834
720.0,0.2695225951025201,0.060523231650108686
721.0,0.2704050449802472,0.06050253081593513
722.0,0.271285981922002,0.0604811912086755
723.0,0.27216540036058834,0.06045921873361718
724.0,0.27304329483927187,0.06043661926553297
725.0,0.27391966001073287,0.060413398648583666
726.0,0.274794490636018,0.060389562696226695
727.0,0.2756677815835063,0.06036511719113024
728.0,0.27653952782787194,0.060340067885094426
729.0,0.2774097244490575,0.06031442049897626
730.0,0.27827836663125327,0.06028818072262239
731.0,0.27914544966187743,0.06026135421480563
732.0,0.2800109689305679,0.060233946603167506
733.0,0.28087491992817487,0.06020596348416623
734.0,0.2817372982457607,0.06017741042302971
735.0,0.2825980995736092,0.06014829295371334
736.0,0.283457319700232,0.06011861657886295
737.0,0.2843149545113897,0.060088386769782925
738.0,0.28517099998911544,0.060057608966408334
739.0,0.28602545221074066,0.06002628857728253
740.0,0.2868783073479341,0.05999443097953858
741.0,0.2877295616657401,0.05996204151888541
742.0,0.2885792115216261,0.05992912550959857
743.0,0.2894272533645344,0.05989568823451517
744.0,0.290273683733943,0.05986173494503225
745.0,0.29111849925892935,0.059827270861110324
746.0,0.2919616966572387,0.05979230117128038
747.0,0.2928032727343652,0.05975683103265439
748.0,0.2936432243826305,0.05972086557094063
749.0,0.29448154858027326,0.05968440988046178
750.0,0.2953182423905465,0.05964746902417671
751.0,0.29615330296081455,0.05961004803370693
752.0,0.2969867275216639,0.05957215190936494
753.0,0.2978185133860114,0.05953378562018739
754.0,0.2986486579482271,0.05949495410397012
755.0,0.2994771586832573,0.05945566226730817
756.0,0.30030401314575633,0.05941591498563723
757.0,0.30112921896922257,0.05937571710327927
758.0,0.3019527738651439,0.059335073433491106
759.0,0.3027746756221443,0.05929398875851482
760.0,0.30359492210514033,0.05925246782963314
761.0,0.304413511254503,0.05921051536722507
762.0,0.30523044108522474,0.059168136060826326
763.0,0.30604716355279266,0.059125615435825556
764.0,0.3068608060550352,0.059082402555169916
765.0,0.30767278452124114,0.05903877682436616
766.0,0.3084830972705168,0.05899474281163933
767.0,0.3092917426926871,0.05895030505471664
768.0,0.3100987192475021,0.05890546806090212
769.0,0.3109040254611389,0.05886023630664097
770.0,0.311707656212624,0.05881461353707469
771.0,0.31250961369578534,0.058768604839385064
772.0,0.3133098966359501,0.0587222145991234
773.0,0.31410850382433625,0.05867544717180844
774.0,0.3149054341172912,0.05862830688301343
775.0,0.3157006864355346,0.058580798028454874
776.0,0.3164942597634075,0.05853292487408405
777.0,0.3172861531481298,0.058484691656179165
778.0,0.318076365699061,0.05843610258144002
779.0,0.31886489658696754,0.058387161827084096
780.0,0.31965174504329585,0.058337873540944656
781.0,0.32043691035945215,0.05828824184156983
782.0,0.32122039188608587,0.05823827081832342
783.0,0.3220021890323821,0.05818796453148819
784.0,0.32278230126535645,0.058137327012369
785.0,0.3235607281091576,0.05808636226339848
786.0,0.32433746914437467,0.058035074258243724
787.0,0.3251125240073504,0.05798346694191429
788.0,0.3258858923895023,0.05793154423087191
789.0,0.3266575740366424,0.057879310013140374
790.0,0.32742756874831425,0.05782676814841778
